体操部,【運動系】その他,https://pbs.twimg.com/profile_images/378800000133655225/31e8500a1c894bb53ad946665ffaf58b_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=56,http://twitter.com/kobegymn,"",http://home.kobe-u.com/gymn/
馬術部,【運動系】その他,https://pbs.twimg.com/profile_images/930073256169652226/ymt1KK2-_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=57,http://twitter.com/ShindaiBazyutu,"",http://kobeu-bazyutu.jugem.jp
神戸大学軽音Ⅱ部,【文化系】音楽,https://pbs.twimg.com/profile_images/2131557006/kobe_u_keion2_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=58,http://twitter.com/kobe_u_keion2,"",""
軽音楽部JAZZ,【文化系】音楽,https://pbs.twimg.com/profile_images/846392316239630337/9GjUTud4_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=59,http://twitter.com/Jazz_sinkan2017,https://www.facebook.com/kobe.univ.jazz,http://home.kobe-u.com/jazz/
神戸大学軽音楽部ROCK,【文化系】音楽,https://pbs.twimg.com/profile_images/1424527621/image_400x400.gif,http://weebee1212.com/sp/dantai/content.php?id=60,http://twitter.com/kobe_u_rock,https://www.facebook.com/Kobe.u.Rock,""
神戸大学混声合唱団アポロン,【文化系】音楽,https://pbs.twimg.com/profile_images/798672465438208000/_rWriYB5_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=61,http://twitter.com/shinkanapollon,"",http://home.kobe-u.com/apollon/
神戸大学混声合唱団エルデ,【文化系】音楽,https://pbs.twimg.com/profile_images/2966242991/5f692e8ecb18e736f2a34687fd818ea7_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=62,http://twitter.com/Choir_Erde,"",http://home.kobe-u.com/erde/index.html
神戸大学応援団総部吹奏楽部,【文化系】音楽,https://pbs.twimg.com/profile_images/674135621770678272/zNFhGbwL_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=63,http://twitter.com/kobebrass,https://www.facebook.com/kobebrass,http://home.kobe-u.com/brass/
神戸大学交響楽団,【文化系】音楽,https://pbs.twimg.com/profile_images/875588409657405440/Bh5sbGDw_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=64,http://twitter.com/Kobe_Univ_Orche,https://www.facebook.com/kobeunivso,http://www.kobeusym.info/index.php
神戸大学マンドリンクラブ,【文化系】音楽,https://pbs.twimg.com/profile_images/453551942321438720/sCtnVUk8_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=65,http://twitter.com/KobeUnimandolin,https://www.facebook.com/神戸大学マンドリンクラブ-876043035777754,http://kobe-u.k-mandolin.jp/
神戸大学クラシックギター部,【文化系】音楽,https://pbs.twimg.com/profile_images/2170229163/folder_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=66,http://twitter.com/KucgcSince1967,https://www.facebook.com/kucgc.since1967,http://home.kobe-u.com/guitar/top.html
自由劇場,【文化系】パフォーマンス,https://pbs.twimg.com/profile_images/1287457496/_______400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=67,http://twitter.com/JIGEKI,https://www.facebook.com/jigeki,http://home.kobe-u.com/jigeki/
神戸大学応援団,【運動系】その他,https://www.biber.com/dta/themes/biber/core/assets/images/no-featured-175.jpg,http://weebee1212.com/sp/dantai/content.php?id=68,"","",http://home.kobe-u.com/ouendan
囲碁部,【文化系】ホビー,https://pbs.twimg.com/profile_images/714126148557545472/sChZcFJg_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=69,http://twitter.com/kobe_igo,"",http://kobeigo.web.fc2.com/
